slug-id|BenefitShortDescription|QuestionType|ChoiceList|Question|BenefitCategory|ChoiceWeight
chase-sapphire-preferred-card|Hotel Credit|multiple_choice|['0-2', '3-5', '6-10', '11+']|How many hotel nights do you typically book in a year through a travel portal?|Hotel|[0.0, 0.4, 0.8, 1.0]
chase-sapphire-preferred-card|Anniversary Bonus|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value an annual anniversary bonus to boost your travel rewards balance?|Anniversary Bonus|[0.0, 0.5, 1.0]
chase-sapphire-preferred-card|DashPass|multiple_choice|['No', 'Sometimes', 'Yes']|Do you use food delivery services at least twice a month?|Delivery|[0.0, 0.5, 1.0]
american-express-gold-card|Uber Cash|multiple_choice|['No', 'Sometimes', 'Yes']|Do you use Uber for transportation or order from local restaurants via Uber Eats monthly?|Rideshare,Food Delivery|[0.0, 0.5, 1.0]
american-express-gold-card|Dining Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you regularly order takeout from Grubhub or visit dining chains like The Cheesecake Factory?|Dining|[0.0, 0.5, 1.0]
american-express-gold-card|Resy Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Do you enjoy discovering and booking tables at popular local restaurants through Resy?|Dining|[0.0, 0.5, 1.0]
american-express-gold-card|Dunkin Credit|multiple_choice|['No', 'Sometimes', 'Yes']|Is a morning coffee or donut from Dunkin' a staple of your routine?|Dining|[0.0, 0.5, 1.0]
american-express-gold-card|Hotel Credit|multiple_choice|['No', 'Sometimes', 'Yes']|How likely are you to book hotel stays through a bank portal to earn extra value on trip perks?|Hotel|[0.0, 0.5, 1.0]
capital-one-venture-x-rewards-credit-card|Travel Credit|multiple_choice|['No', 'Maybe', 'Yes']|Do you spend at least $300 annually on travel and feel comfortable booking through a bank's travel portal?|Travel|[0.0, 0.5, 1.0]
capital-one-venture-x-rewards-credit-card|Anniversary Miles|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value receiving 10,000 bonus miles every year to offset the cost of your future trips?|Anniversary Bonus|[0.0, 0.5, 1.0]
capital-one-venture-x-rewards-credit-card|Lounge Access|multiple_choice|['Never', '1-2 times', '3+ times']|How many times a year do you wish you had a quiet place with free food and drinks at the airport?|Lounge Access|[0.0, 0.6, 1.0]
capital-one-venture-x-rewards-credit-card|TSA Credit|multiple_choice|['No', 'Already Have It', 'Yes']|Do you want a credit for Global Entry or TSA PreCheck to expedite your airport experience?|Travel Security|[0.0, 0.2, 1.0]
capital-one-venture-x-rewards-credit-card|Hertz Status|multiple_choice|['No', 'Sometimes', 'Yes']|Do you rent cars frequently enough to benefit from skipping the counter and getting free upgrades?|Rental Cars|[0.0, 0.5, 1.0]
chase-freedom-unlimited|DashPass|multiple_choice|['No', 'Sometimes', 'Yes']|Do you value a free delivery membership for your favorite local restaurants?|Delivery|[0.0, 0.5, 1.0]
