Vendor|CardName|PointsValueCpp|slug-id|ImageURL|MinCreditScore|MaxCreditScore|ApplicationLink
American Express|American Express Gold Card|1.0|american-express-gold-card|/static/images/credit_cards/american-express-gold-card.jpg|670|850|https://www.americanexpress.com/us/credit-cards/card/gold-card/
American Express|American Express Platinum Card|1.0|american-express-platinum-card|/static/images/credit_cards/american-express-platinum-card.jpg|670|850|https://www.americanexpress.com/us/credit-cards/card/platinum/
American Express|American Express Green Card|1.0|american-express-green-card|/static/images/credit_cards/american-express-green-card.jpg|670|850|https://www.americanexpress.com/us/credit-cards/card/green/
American Express|Blue Cash Preferred Card from American Express|N/A|blue-cash-preferred-card-from-american-express|/static/images/credit_cards/blue-cash-preferred-card-from-american-express.PNG|670|850|https://www.americanexpress.com/us/credit-cards/card/blue-cash-preferred/
American Express|Blue Cash Everyday Card from American Express|N/A|blue-cash-everyday-card-from-american-express|/static/images/credit_cards/blue-cash-everyday-card-from-american-express.png|670|850|https://www.americanexpress.com/us/credit-cards/card/blue-cash-everyday/
American Express|Delta SkyMiles Platinum American Express Card|1.2|delta-skymiles-platinum-american-express-card|/static/images/credit_cards/delta-skymiles-platinum-american-express-card.PNG|670|850|https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-platinum-american-express-card/
American Express|Delta SkyMiles Reserve American Express Card|1.2|delta-skymiles-reserve-american-express-card|/static/images/credit_cards/delta-skymiles-reserve-american-express-card.PNG|670|850|https://www.americanexpress.com/us/credit-cards/card/delta-skymiles-reserve-american-express-card/
American Express|Hilton Honors American Express Surpass Card|0.5|hilton-honors-american-express-surpass-card|/static/images/credit_cards/hilton-honors-american-express-surpass-card.avif|670|850|https://www.americanexpress.com/us/credit-cards/card/hilton-honors-surpass/
American Express|Hilton Honors Aspire Card from American Express|0.5|hilton-honors-aspire-card-from-american-express|/static/images/credit_cards/hilton-honors-aspire-card-from-american-express.jpeg|670|850|https://www.americanexpress.com/us/credit-cards/card/hilton-honors-aspire/
American Express|Marriott Bonvoy Brilliant American Express Card|0.8|marriott-bonvoy-brilliant-american-express-card|/static/images/credit_cards/marriott-bonvoy-brilliant-american-express-card.jpeg|670|850|https://www.americanexpress.com/us/credit-cards/card/marriott-bonvoy-brilliant/
American Express|The Business Platinum Card from American Express|1.0|the-business-platinum-card-from-american-express|/static/images/credit_cards/the-business-platinum-card-from-american-express.PNG|670|850|https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-platinum-credit-card-amex/
American Express|American Express Business Gold Card|1.0|american-express-business-gold-card|/static/images/credit_cards/american-express-business-gold-card.PNG|670|850|https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-business-gold-card-amex/
American Express|Blue Business Plus Credit Card from American Express|1.0|blue-business-plus-credit-card-from-american-express|/static/images/credit_cards/blue-business-plus-credit-card-from-american-express.PNG|670|850|https://www.americanexpress.com/us/credit-cards/business/business-credit-cards/american-express-blue-business-plus-credit-card-amex/
American Express|Blue Business Cash™ Card from American Express|N/A|blue-business-cash-card-from-american-express|/static/images/credit_cards/blue-business-cash-card-from-american-express.PNG|670|850|https://www.americanexpress.com/en-us/business/credit-cards/blue-business-cash/
Bank of America|Bank of America Travel Rewards Credit Card|1.0|bank-of-america-travel-rewards-credit-card|/static/images/credit_cards/bank-of-america-travel-rewards-credit-card.PNG|750|850|https://secure.bankofamerica.com/ogateway/public/apply-now-services/iaoconsumer/rest/public/usa/initialize/cc/v1?requesttype=usa&campaignId=4076499&productOfferCode=T9&locale=en_US
Bank of America|Bank of America Premium Rewards Credit Card|1.0|bank-of-america-premium-rewards-credit-card|/static/images/credit_cards/bank-of-america-premium-rewards-credit-card.PNG|750|850|https://secure.bankofamerica.com/ogateway/public/apply-now-services/iaoconsumer/rest/public/usa/initialize/cc/v1?requesttype=usa&campaignId=4076573&productOfferCode=47&locale=en_US
Bank of America|Bank of America Customized Cash Rewards credit card for Students|N/A|bank-of-america-customized-cash-rewards-credit-card-for-students|/static/images/credit_cards/bank-of-america-customized-cash-rewards-credit-card-for-students.png|670|850|https://www.bankofamerica.com/upac/#/get-started?campaignId=4076372&productOfferCode=DA
Capital One|Capital One Venture X Rewards Credit Card|1.0|capital-one-venture-x-rewards-credit-card|/static/images/credit_cards/capital-one-venture-x-rewards-credit-card.WEBP|740|850|https://www.capitalone.com/credit-cards/apply/venture-x-rewards/
Capital One|Capital One Venture Rewards Credit Card|1.0|capital-one-venture-rewards-credit-card|/static/images/credit_cards/capital-one-venture-rewards-credit-card.WEBP|700|850|https://www.capitalone.com/credit-cards/apply/venture-rewards/
Capital One|Capital One VentureOne Rewards Credit Card|1.0|capital-one-ventureone-rewards-credit-card|/static/images/credit_cards/capital-one-ventureone-rewards-credit-card.WEBP|670|850|https://www.capitalone.com/credit-cards/apply/ventureone-rewards/
Capital One|Capital One Savor Cash Rewards Credit Card|N/A|capital-one-savor-cash-rewards-credit-card|/static/images/credit_cards/capital-one-savor-cash-rewards-credit-card.jpeg|670|850|https://www.capitalone.com/credit-cards/apply/savor-rewards/
