slug-id|FreakVerdict
chase-sapphire-preferred-card|10/10. Simple and clean. No tiered spending or hidden boosts. $5,000 in 3 months gets you the full 75k points.
chase-sapphire-reserve|10/10. Heavy hitter but straightforward. $6,000 spend in 3 months for a massive 125k points. No shenanigans.
chase-freedom-unlimited|10/10. Extremely low barrier to entry. Simple $500 spend for a quick $200 back.
chase-freedom-flex|10/10. Identical to its sibling. $500 spend for $200. Clear terms with no hidden tiers.
prime-visa|7/10. Instant bonus on approval is great but requires a $139 per year Prime membership. Membership gated bonus.
united-explorer-card|10/10. Flat 70k miles for $3,000 spend. United bonuses are very transparent.
marriott-bonvoy-boundless-credit-card|4/10. Tiered trap. The 150k points usually require extra spend windows beyond the initial $3k.
southwest-rapid-rewards-priority-credit-card|10/10. Flat 85k points for $3,000 spend. Excellent for Companion Pass chasers.
ihg-one-rewards-premier-credit-card|10/10. Straightforward 140k points after $3,000 spend. No tiers.
the-world-of-hyatt-credit-card|2/10. Bonus mirage. 30k after $3k then requires heavy spend with a 2x boost to earn the rest.
united-quest-card|10/10. Flat 70k miles for $4,000 spend. No tiered nonsense.
united-club-card|10/10. Large $5,000 spend but a flat 90k miles with no hidden stages.
aeroplan-credit-card|3/10. Multiple tiers. Final portion locked behind a massive $20,000 total spend.
british-airways-visa-signature-card|5/10. Tiered spend that jumps from $5k to $20k to unlock full value.
american-express-gold-card|10/10. High spend but flat 100k points. Amex keeps it simple.
american-express-platinum-card|10/10. Clear terms. $8,000 spend for 175k points with no hoops.
blue-cash-preferred-card-from-american-express|10/10. Flat $250 for $3k spend. Simple cash back.
blue-cash-everyday-card-from-american-express|10/10. Flat $200 for $2k spend. Transparent and easy.
delta-skymiles-platinum-american-express-card|10/10. Flat 60k miles for $3k spend.
hilton-honors-american-express-surpass-card|10/10. Flat 155k points for $3k spend. Very clean.
american-express-green-card|10/10. Flat 40k points for $3k spend. No caveats.
marriott-bonvoy-brilliant-american-express-card|10/10. Flat 100k points for $6k spend. Much cleaner than the Chase version.
delta-skymiles-reserve-american-express-card|10/10. Flat 70k miles for $5k spend.
hilton-honors-aspire-card-from-american-express|10/10. Flat 175k points for $6k spend.
capital-one-venture-x-rewards-credit-card|10/10. High $10k spend but a single flat 100k miles. Very transparent.
capital-one-venture-rewards-credit-card|10/10. Flat 75k miles for $4k spend.
capital-one-savor-cash-rewards-credit-card|10/10. Flat $200 for $500 spend.
capital-one-quicksilver-cash-rewards-credit-card|10/10. Simple $200 for $500 spend.
capital-one-ventureone-rewards-credit-card|10/10. Simple 20k miles for $500 spend.
capital-one-quicksilverone-cash-rewards-credit-card|10/10. Flat $200 for $500 spend.
citi-double-cash-card|0/10. No signup bonus. Poor value for churners.
citi-strata-premier-card|10/10. Flat 100k points for $6k spend. Strong offer.
citi-custom-cash-card|10/10. Flat $200 for $1,500 spend.
wells-fargo-active-cash-card|10/10. Flat $200 for $500 spend.
wells-fargo-autograph-card|10/10. Flat 20k points for $1,000 spend.
discover-it-cash-back|5/10. No upfront bonus. Cashback match arrives after 12 months.
discover-it-miles|5/10. No upfront bonus. One year delayed match.
discover-it-chrome|5/10. No immediate bonus. Must wait a year.
apple-card|0/10. No welcome bonus. Weak signup value.
us-bank-altitude-reserve-visa-infinite-card|10/10. Flat 50k points for $4,500 spend.
us-bank-altitude-connect-visa-signature-card|10/10. Flat 50k points for $2k spend.
bank-of-america-premium-rewards-credit-card|10/10. Flat 60k points for $4k spend.
bank-of-america-travel-rewards-credit-card|10/10. Flat 25k points for $1k spend.
amazon-prime-store-card|7/10. Instant $100 but requires paid Prime membership.
best-buy-credit-card|0/10. No welcome bonus.
penfed-pathfinder-rewards-visa-signature-card|0/10. No welcome bonus in current public offers.
bilt-mastercard|0/10. No signup bonus. Card is for rent benefits only.
ink-business-preferred-credit-card|10/10. Flat 100k points for $8k spend.
ink-business-premier-credit-card|10/10. Flat $1,000 for $10k spend.
the-business-platinum-card-from-american-express|10/10. Flat 200k points for $20k spend. No tiers.
american-express-business-gold-card|10/10. Flat 100k points for $15k spend.
blue-business-plus-credit-card-from-american-express|10/10. Flat 15k points for $3k spend.
blue-business-cash-card-from-american-express|10/10. Flat $250 for $3k spend.
capital-one-spark-cash-plus|1/10. Whale bait. Extra rewards only matter at extreme spend levels.
capital-one-spark-miles-for-business|10/10. Flat 50k miles for $4,500 spend.
citi-strata-elite-card|10/10. Flat 100k points for $6k spend.
