Chain Code,Chain Name,Loyalty Program,Program ID
AK,AUTOGRAPH COLLECTION,Marriott Bonvoy,marriott_bonvoy
AL,ALOFT HOTELS,Marriott Bonvoy,marriott_bonvoy
AR,AC HOTELES,Marriott Bonvoy,marriott_bonvoy
AW,AMERICINN BY WYNDHAM,Wyndham Rewards,wyndham_rewards
BC,PREFERRED AFF HOTELS,I Prefer Hotel Rewards,i_prefer
BG,BULGARI HOTELS,Marriott Bonvoy,marriott_bonvoy
BH,HAWTHORN SUITES,Wyndham Rewards,wyndham_rewards
BR,RENAISSANCE HTL RSRT,Marriott Bonvoy,marriott_bonvoy
BU,BAYMONT BY WYNDHAM,Wyndham Rewards,wyndham_rewards
BW,BEST WESTERN,Best Western Rewards,best_western_rewards
CC,CLARION HOTELS,Choice Privileges,choice_privileges
CI,COMFORT INN,Choice Privileges,choice_privileges
CN,CONRAD,Hilton Honors,hilton_honors
CP,CROWNE PLAZA HOTELS,IHG One Rewards,ihg_one_rewards
CX,COUNTRY INN SUITES,Choice Privileges,choice_privileges
CY,COURTYARD HOTELS,Marriott Bonvoy,marriott_bonvoy
DE,DELTA HOTELS,Marriott Bonvoy,marriott_bonvoy
DI,DAYS INN BY WYNDHAM,Wyndham Rewards,wyndham_rewards
DN,DESTINATION HOTELS,World of Hyatt,world_of_hyatt
DS,DESIGN HOTELS,Marriott Bonvoy,marriott_bonvoy
DT,DOUBLETREE HOTELS,Hilton Honors,hilton_honors
DW,DUSIT HTLS & RESORTS,GHA Discovery,gha_discovery
DX,DOLCE HOTELS/RESORTS,Wyndham Rewards,wyndham_rewards
EB,EDITION BRAND,Marriott Bonvoy,marriott_bonvoy
EL,ELEMENT HOTELS,Marriott Bonvoy,marriott_bonvoy
EO,ECONOLODGE,Choice Privileges,choice_privileges
ES,EMBASSY SUITES,Hilton Honors,hilton_honors
ET,MARRIOTT CONF CNTRS,Marriott Bonvoy,marriott_bonvoy
EZ,CAMBRIA SUITES,Choice Privileges,choice_privileges
FA,FAIRMONT HOTELS,Accor Live Limitless,accor_all
FN,FAIRFIELD INN HOTELS,Marriott Bonvoy,marriott_bonvoy
GA,GLOBALHOTEL ALLIANCE,GHA Discovery,gha_discovery
GE,GAYLORD ENTERTAINMEN,Hilton Honors,hilton_honors
GI,HILTON GARDEN INNS,Hilton Honors,hilton_honors
GP,GRADUATE HOTELS,Hilton Honors,hilton_honors
